iter	Passed	Remaining
0	143	143400
1	145	72771
2	148	49293
3	150	37526
4	156	31141
5	158	26292
6	161	22851
7	163	20287
8	166	18289
9	171	16976
10	173	15627
11	176	14522
12	179	13591
13	184	12985
14	188	12355
15	190	11743
16	193	11185
17	195	10692
18	200	10364
19	203	9955
20	205	9596
21	208	9273
22	214	9091
23	216	8808
24	219	8551
25	221	8304
26	224	8073
27	229	7952
28	232	7775
29	234	7583
30	236	7403
31	239	7239
32	245	7181
33	247	7035
34	250	6901
35	253	6782
36	258	6723
37	260	6605
38	263	6490
39	265	6364
40	267	6247
41	269	6136
42	274	6105
43	275	5996
44	277	5892
45	279	5791
46	280	5694
47	282	5600
48	284	5513
49	288	5473
50	289	5388
51	291	5305
52	292	5225
53	293	5148
54	295	5074
55	297	5006
56	300	4967
57	301	4902
58	303	4837
59	304	4772
60	305	4709
61	307	4648
62	308	4591
63	310	4535
64	311	4478
65	312	4425
66	315	4397
67	318	4358
68	319	4310
69	320	4262
70	322	4216
71	323	4170
72	324	4125
73	326	4082
74	327	4038
75	329	4004
76	332	3986
77	334	3949
78	335	3910
79	336	3873
80	338	3837
81	339	3802
82	340	3760
83	341	3725
84	343	3692
85	345	3673
86	347	3643
87	348	3613
88	350	3582
89	351	3551
90	352	3524
91	354	3494
92	355	3467
93	356	3438
94	359	3427
95	362	3409
96	363	3383
97	364	3358
98	366	3334
99	367	3310
100	369	3285
101	370	3261
102	371	3238
103	375	3237
104	377	3218
105	379	3196
106	380	3178
107	382	3160
108	384	3139
109	385	3118
110	386	3097
111	390	3099
112	392	3082
113	394	3063
114	395	3045
115	397	3026
116	398	3005
117	399	2987
118	400	2968
119	402	2949
120	405	2947
121	406	2928
122	408	2910
123	409	2893
124	410	2876
125	412	2858
126	413	2840
127	414	2822
128	415	2806
129	417	2791
130	420	2786
131	421	2772
132	423	2758
133	424	2743
134	426	2730
135	427	2715
136	428	2701
137	430	2687
138	431	2672
139	434	2671
140	436	2657
141	437	2642
142	438	2628
143	440	2615
144	441	2602
145	442	2589
146	443	2576
147	445	2562
148	446	2550
149	450	2552
150	451	2541
151	453	2528
152	454	2516
153	456	2505
154	457	2494
155	459	2483
156	460	2472
157	464	2476
158	466	2467
159	468	2457
160	468	2443
161	470	2433
162	471	2421
163	472	2410
164	474	2399
165	475	2389
166	476	2377
167	479	2375
168	481	2365
169	482	2355
170	483	2345
171	485	2335
172	486	2325
173	487	2314
174	488	2305
175	490	2295
176	491	2284
177	494	2283
178	496	2277
179	497	2267
180	498	2257
181	500	2248
182	501	2238
183	502	2229
184	503	2219
185	505	2210
186	506	2201
187	509	2200
188	511	2194
189	512	2185
190	513	2176
191	515	2167
192	516	2158
193	517	2150
194	518	2141
195	519	2132
196	521	2124
197	523	2120
198	525	2113
199	526	2105
200	527	2096
201	528	2088
202	529	2080
203	530	2071
204	532	2063
205	533	2055
206	534	2047
207	535	2039
208	537	2032
209	540	2032
210	541	2024
211	542	2017
212	544	2010
213	545	2003
214	546	1995
215	547	1988
216	548	1980
217	550	1973
218	551	1965
219	554	1965
220	555	1958
221	556	1951
222	558	1944
223	559	1937
224	560	1930
225	561	1923
226	562	1916
227	564	1910
228	565	1903
229	566	1896
230	569	1895
231	570	1889
232	572	1883
233	573	1876
234	574	1870
235	575	1864
236	577	1858
237	578	1852
238	579	1846
239	580	1839
240	582	1835
241	585	1833
242	586	1827
243	587	1820
244	588	1814
245	590	1808
246	591	1803
247	592	1797
248	593	1791
249	594	1784
250	596	1778
251	599	1779
252	600	1773
253	601	1767
254	603	1762
255	604	1756
256	605	1750
257	606	1745
258	608	1739
259	609	1733
260	610	1728
261	611	1722
262	614	1721
263	615	1716
264	616	1710
265	618	1705
266	619	1699
267	620	1694
268	621	1688
269	622	1683
270	623	1678
271	624	1672
272	626	1667
273	629	1666
274	630	1662
275	631	1657
276	633	1652
277	634	1647
278	635	1642
279	636	1636
280	637	1631
281	638	1626
282	640	1621
283	641	1616
284	644	1616
285	645	1611
286	646	1606
287	647	1601
288	649	1597
289	650	1592
290	651	1587
291	652	1582
292	654	1578
293	655	1573
294	657	1572
295	659	1568
296	660	1563
297	661	1559
298	663	1554
299	664	1550
300	665	1545
301	666	1541
302	667	1536
303	669	1531
304	670	1527
